date,wakeup1,wu1_tz,backToBed,btb_tz,wakeup2,wu2_tz,bedtime,bt_tz,sleep1,sleep2,sleepTotal
11/16/2024,4:15am,CST,9:30am,CST,12:00pm,CST,11:15pm,CST,,,
11/17/2024,5:30am,CST,,,,,10:00pm,CST,,,
11/18/2024,6:30am,CST,,,,,11:00pm,CST,,,
11/19/2024,5:30am,CST,6:00am,CST,8:45am,CST,11:45pm,CST,,,
11/20/2024,5:30am,CST,,,,,11:45pm,CST,,,
11/21/2024,7:30am,CST,,,,,12:00am,CST,,,
11/22/2024,7:30am,CST,,,,,12:15am,CST,,,
11/23/2024,5:30am,CST,,,9:15am,CST,12:30am,CST,,,
11/24/2024,7:15am,CST,,,,,11:51pm,CST,,,
11/25/2024,7:00am,CST,,,,,11:45pm,CST,,,
11/26/2024,6:00am,CST,,,,,10:30pm,CST,,,
11/27/2024,4:45am,CST,,,,,12:15am,CST,,,
11/28/2024,9:00am,CST,,,,,11:00pm,CST,,,
11/29/2024,2:30am,CST,4:00am,CST,8:15am,CST,,CST,,,
11/30/2024,7:45am,CST,,,,,11:00pm,CST,,,
12/1/2024,7:00am,CST,,,,,11:11pm,CST,,,
12/2/2024,7:15am,CST,,,,,10:50pm,CST,,,
12/3/2024,7:15am,CST,,,,,10:50pm,CST,,,
12/4/2024,6:50am,,,,,,11:30pm,CST,,,
12/5/2024,6:45am,CST,,,,,10:30pm,CST,,,
12/6/2024,5:45am,CST,,,,,11:35pm,CST,,,
12/7/2024,6:45am,CST,,,10:15am,CST,12:15am,CST,,,
12/8/2024,4:15am,CST,,,,,11:00pm,CST,,,
12/9/2024,8:15am,CST,,,,,1:00am,CST,,,
12/10/2024,8:24am,CST,,,,,11:45pm,CST,,,
12/11/2024,7:30am,CST,,,,,10:55pm,CST,,,
12/12/2024,7:15am,CST,,,,,11:50pm,CST,,,
12/13/2024,8:15am,CST,,,,,11:20pm,CST,,,
12/14/2024,6:15am,CST,,,,,12:00am,CST,,,
12/15/2024,8:30am,CST,,,,,12:30am,CST,,,
12/16/2024,7:15am,CST,,,,,11:16pm,CST,,,
12/17/2024,6:30am,CST,,,,,11:45pm,CST,,,
12/18/2024,6:30am,CST,,,,,10:30pm,CST,,,
12/19/2024,6:30am,CST,,,,,11:50pm,CST,,,
12/20/2024,7:30am,CST,,,,,12:15pm,CST,,,
12/21/2024,7:15am,CST,,,,,10:40pm,CST,,,
12/22/2024,6:15am,CST,,,,,,CST,,,
12/23/2024,6:30am,CST,,,,,12:00am,CST,,,
12/24/2024,8:30am,CST,,,,,11:50pm,CST,,,
12/25/2024,6:00am,CST,,,,,12:06am,CST,,,
12/26/2024,7:00am,CST,,,,,12:10am,CST,,,
12/27/2024,7:30am,CST,,,,,12:45am,CST,,,
12/28/2024,6:00am,CST,,,,,12:00am,CST,,,
12/29/2024,7:00am,CST,,,,,12:20am,CST,,,
12/30/2024,8:00am,CST,,,,,12:00am,CST,,,
12/31/2024,6:30am,CST,,,,,1:50am,CST,,,
1/1/2025,7:30am,CST,,,,,11:20pm,CST,,,
1/2/2025,7:15am,CST,,,,,11:50pm,CST,,,
1/3/2025,7:30am,CST,,,,,12:30am,CST,,,
1/4/2025,9:00am,CST,,,,,12:15am,CST,,,
1/5/2025,6:30am,CST,,,,,11:50pm,CST,,,
1/6/2025,7:45am,CST,,,,,11:50pm,CST,,,
1/7/2025,7:15am,CST,,,,,11:30pm,CST,,,
1/8/2025,8:00am,CST,,,,,11:30pm,CST,,,
1/9/2025,7:30am,CST,,,,,11:11pm,CST,,,
1/10/2025,7:15am,CST,,,,,12:25am,CST,,,
1/11/2025,9:30am,CST,,,,,11:30pm,CST,,,
1/12/2025,2:50am,CST,,,,,10:50pm,CST,,,
1/13/2025,7:50am,CST,,,,,11:00pm,CST,,,
1/14/2025,6:30am,CST,,,,,11:11pm,CST,,,
1/15/2025,5:30am,CST,,,,,10:15pm,CST,,,
1/16/2025,5:45am,CST,,,,,12:30am,CST,,,
1/17/2025,8:00am,CST,,,,,11:45pm,CST,,,
1/18/2025,7:50am,CST,,,,,11:55pm,CST,,,
1/19/2025,5:30am,CST,7:00am,CST,9:30am,CST,,CST,,,
1/20/2025,7:45am,CST,,,,,12:00am,CST,,,
1/21/2025,8:00am,CST,,,,,12:00am,CST,,,
1/22/2025,9:00am,CST,,,,,11:45pm,CST,,,
1/23/2025,7:45am,CST,,,,,11:15pm,CST,,,
1/24/2025,6:45am,CST,,,,,12:20am,CST,,,
1/25/2025,8:00am,CST,,,,,11:11pm,CST,,,
1/26/2025,7:45am,CST,,,,,12:00am,CST,,,
1/27/2025,7:30am,CST,,,,,12:25am,CST,,,
1/28/2025,7:30am,CST,,,,,11:30pm,CST,,,
1/29/2025,5:00am,CST,,,,,11:00pm,CST,,,
1/30/2025,8:00am,CST,,,,,11:30pm,CST,,,
1/31/2025,7:00am,CST,,,,,11:30pm,CST,,,
2/1/2025,7:00am,CST,,,,,1:25am,CST,,,
2/2/2025,7:05am,CST,,,,,12:00am,CST,,,
2/3/2025,4:00am,CST,6:00am,CST,11:00am,CST,11:00pm,CST,,,
2/4/2025,5:00am,CST,,,,,11:45pm,CST,,,
2/5/2025,8:25am,CST,,,,,11:35pm,CST,,,
2/6/2025,7:15am,CST,,,,,10:00pm,CST,,,
2/7/2025,4:30am,CST,,,,,,CST,,,
2/8/2025,,CST,,,,,,CST,,,
2/9/2025,,CST,,,,,,CST,,,
2/10/2025,8:20am,CST,,,,,9:45pm,CST,,,
2/11/2025,4:00am,CST,,,,,11:30pm,CST,,,
2/12/2025,6:30am,CST,,,7:46am,CST,11:20pm,CST,,,
2/13/2025,7:15am,CST,,,,,11:45pm,CST,,,
2/14/2025,7:20am,CST,,,,,10:45pm,CST,,,
2/15/2025,7:00am,CST,,,,,11:45pm,CST,,,
2/16/2025,7:00am,CST,,,,,11:45pm,CST,,,
2/17/2025,4:00am,CST,,,,,11:12pm,CST,,,
2/18/2025,7:00am,CST,,,,,11:05pm,CST,,,
2/19/2025,7:15am,CST,,,,,11:05pm,CST,,,
2/20/2025,7:20am,CST,,,,,11:05pm,CST,,,
2/21/2025,6:45am,CST,,,,,12:45am,CST,,,
2/22/2025,7:30am,CST,,,,,11:45pm,CST,,,
2/23/2025,5:20am,CST,,,,,10:20am,CST,,,
2/24/2025,7:00am,CST,,,,,,CST,,,
2/25/2025,7:00am,CST,,,,,11:20pm,CST,,,
2/26/2025,5:30am,CST,,,,,11:05pm,CST,,,
2/27/2025,6:00am,CST,,,,,11:00pm,CST,,,
2/28/2025,7:00am,CST,,,,,11:45pm,CST,,,
3/1/2025,5:30am,CST,,,,,12:00am,CST,,,
3/2/2025,5:00am,CST,,,,,11:10pm,CST,,,
3/3/2025,5:50am,CST,,,,,11:30pm,CST,,,
3/4/2025,7:00am,CST,,,,,11:00pm,CST,,,
3/5/2025,5:00am,CST,,,,,11:30pm,CST,,,
3/6/2025,,CST,,,,,,CST,,,
3/7/2025,4:00am,CST,,,,,9:10pm,CST,,,
3/8/2025,5:30am,CST,,,,,12:00am,CST,,,
3/9/2025,5:00am,CST,,,9:00am,CST,11:00pm,CST,,,
3/10/2025,5:15am,CST,,,,,10:55pm,CST,,,
3/11/2025,2:45am,CST,,,,,9:50pm,CST,,,
3/12/2025,7:42am,CST,,,,,10:00pm,CST,,,
3/13/2025,6:00am,CST,,,,,10:17pm,CST,,,
3/14/2025,4:30am,CST,,,,,11:45pm,CST,,,
3/15/2025,6:45am,CST,,,,,10:20pm,CST,,,
3/16/2025,7:15am,CST,,,,,10:00pm,CST,,,
3/17/2025,6:00am,CST,,,,,,,,,
